Test File,CB functon,Total Time (in s),Azure Operation,Time per hit
gcp-network,"get",3.60639,"subnet = self.provider.get_resource('subnetworks', subnet_id)",0.4006979
gcp-network,"list",4.15656,"response = (self.provider.gcp_compute.subnetworks().list(project=self.provider.project_name,region=region_name,filter=filter)",0.2349695
gcp-network,"create",65.0219,"self.provider.wait_for_operation(response, region=region_name)",12.971618300000001
gcp-network,"create",65.0219,"cb_subnet.label = label",7.2336717
gcp-network,"delete",60.4918,"self.provider.wait_for_operation(response, region=sn.region_name)",12.288225
gcp-network,"delete",60.4918,"if not helpers.remove_metadata_item(self._provider, tag_name):",6.8932343
gcp-network,"get_or_create_default",10.1332,"for sn in self.find(label=GCPSubnet.CB_DEFAULT_SUBNET_LABEL):",2.694851
gcp-network,"get_or_create",5e-06,"return self._default_internet_gateway",1.7e-06
gcp-network,"get",2.2592,"fip = self.provider.get_resource('addresses', floating_ip_id)",0.3765112
gcp-network,"list",9.41386,"response = (self.provider.gcp_compute.addresses().list(project=self.provider.project_name,region=self.provider.region_name,maxResults=max_result,pageToken=marker)",0.4680614
gcp-network,"list",9.41386,"for ip in response.get('items', [])]",0.8729533
gcp-network,"create",7.33389,"self.provider.wait_for_operation(response, region=region_name)",2.389772
gcp-network,"delete",8.18624,"self.provider.wait_for_operation(response,region=fip.region_name)",2.9466795
gcp-block_store,"find",6.71368,"matches = cb_helpers.generic_find(filters, kwargs, obj_list)",3.356795
gcp-block_store,"refresh",70.4152,"inst = self._provider.compute.instances.get(self.id)",0.3186115
gcp-block_store,"label",5.71702,"helpers.change_label(self, 'cblabel', value, '_volume', req)",0.4682774
gcp-block_store,"refresh",17.8227,"vol = self._provider.storage.volumes.get(self.id)",0.3126742
gcp-block_store,"label",8.01128,"helpers.change_label(self, 'cblabel', value, '_snapshot', req)",0.34300840000000005
gcp-block_store,"description",1.01982,"helpers.change_label(self, 'description', value, '_snapshot', req)",1.015623
gcp-block_store,"refresh",4.29212,"snap = self._provider.storage.snapshots.get(self.id)",0.26825309999999997
gcp-block_store,"get",0.493297,"vm_type = self.provider.get_resource('machineTypes', vm_type_id)",0.2466295
gcp-block_store,"get",1.73786,"region = self.provider.get_resource('regions', region_id,region=region_id)",0.8689045
gcp-block_store,"get",0.350549,"image = self.provider.get_resource('images', image_id)",0.1752545
gcp-block_store,"create",99.9525,"self.provider.wait_for_operation(operation, zone=zone_name)",47.5503185
gcp-block_store,"get",71.0745,"instance = self.provider.get_resource('instances', instance_id)",0.3187022
gcp-block_store,"delete",1.4284,"(self._provider.gcp_compute.instances().delete(project=self.provider.project_name,zone=instance.zone_name,instance=instance.name)",0.6896505
gcp-block_store,"list",0.512971,"response = (self.provider.gcp_compute.subnetworks().list(project=self.provider.project_name,region=region_name,filter=filter)",0.242102
gcp-block_store,"get_or_create_default",8.58669,"for sn in self.find(label=GCPSubnet.CB_DEFAULT_SUBNET_LABEL):",3.3886805
gcp-block_store,"get",20.4031,"vol = self.provider.get_resource('disks', volume_id)",0.30912270000000003
gcp-block_store,"find",0.365001,"response = (self.provider.gcp_compute.disks().list(project=self.provider.project_name,zone=self.provider.default_zone,filter=filtr,maxResults=max_result,pageToken=marker)",0.174063
gcp-block_store,"list",0.680887,"response = (self.provider.gcp_compute.disks().list(project=self.provider.project_name,zone=self.provider.default_zone,maxResults=max_result,pageToken=marker)",0.16219
gcp-block_store,"create",9.97485,"operation = (self.provider.gcp_compute.disks().insert(project=self._provider.project_name,zone=zone_name,body=disk_body)",0.9857015
gcp-block_store,"delete",5.41758,"(self._provider.gcp_compute.disks().delete(project=self.provider.project_name,zone=volume.zone_name,disk=volume.name)",0.7654917
gcp-block_store,"get",5.81179,"snapshot = self.provider.get_resource('snapshots', snapshot_id)",0.252671
gcp-block_store,"find",0.869076,"response = (self.provider.gcp_compute.snapshots().list(project=self.provider.project_name,filter=filtr,maxResults=max_result,pageToken=marker)",0.212239
gcp-block_store,"list",1.6972,"response = (self.provider.gcp_compute.snapshots().list(project=self.provider.project_name,maxResults=max_result,pageToken=marker)",0.1831836
gcp-block_store,"create",36.8745,"self.provider.wait_for_operation(operation,zone=self.provider.default_zone)",11.1892087
gcp-block_store,"delete",2.27445,"(self.provider.gcp_compute.snapshots().delete(project=self.provider.project_name,snapshot=snapshot.name)",0.7531183
gcp-security,"find",8.39101,"matches = cb_helpers.generic_find(filters, kwargs, obj_list)",2.7969637
gcp-security,"get",0.007167,"matches = [rule for rule in firewall.rules if rule.id == rule_id]",0.003583
gcp-security,"find",0.125725,"matches = cb_helpers.generic_find(filters, kwargs, obj_list)",0.008958
gcp-security,"find",16.0481,"matches = cb_helpers.generic_find(filters, kwargs, obj_list)",2.6746407999999997
gcp-security,"label",66.1447,"helpers.modify_or_add_metadata_item(self._provider, tag_name, value)",7.3493803
gcp-security,"refresh",0.243234,"fw = self._provider.security.vm_firewalls.get(self.id)",0.243228
gcp-security,"get",1.11951,"for kp in self:",0.0447777
gcp-security,"list",2.33161,"for item in helpers.find_matching_metadata_items(self.provider, GCPKeyPair.KP_TAG_REGEX):",0.039488
gcp-security,"find",0.409439,"matches = cb_helpers.generic_find(filters, kwargs, obj_list)",0.13645829999999998
gcp-security,"create",26.1585,"helpers.add_metadata_item(self.provider,GCPKeyPair.KP_TAG_PREFIX + name,metadata_value)",6.480796
gcp-security,"delete",20.4335,"helpers.remove_metadata_item(self.provider, GCPKeyPair.KP_TAG_PREFIX + key_pair.name)",6.6376643
gcp-security,"get",0.897284,"network = self.provider.networking.networks.get(network_name)",0.2964693
gcp-security,"list",14.4078,"network = self.provider.networking.networks.get(network_name)",0.3128108
gcp-security,"create",92.3823,"fw.label = label",7.3216765
gcp-security,"create",92.3823,"self.provider.security._vm_firewall_rules.create_with_priority(fw, direction=TrafficDirection.OUTBOUND, protocol='tcp',priority=65534, cidr='0.0.0.0/0')",7.7093012000000005
gcp-security,"delete",135.951,"return self._delegate.delete_tag_network_with_id(fw_id)",22.6584338
gcp-security,"list",0.093306,"rule = GCPVMFirewallRule(firewall, fw['id'])",0.0014041
gcp-security,"create_with_priority",95.6242,"if not firewall.delegate.add_firewall(firewall.name, direction, protocol, priority, port, cidr,src_dest_tag, firewall.description,firewall.network.name):",8.6757756
gcp-security,"create",49.3686,"return self.create_with_priority(firewall, direction, protocol,1000, from_port, to_port, cidr,src_dest_fw)",9.873724800000002
gcp-security,"delete",28.7511,"firewall.delegate.delete_firewall_id(rule._rule)",14.3753435
gcp-security,"get",3.93347,"region = self.provider.get_resource('regions', region_id,region=region_id)",0.655553
gcp-security,"get",19.1619,"network = self.provider.get_resource('networks', network_id)",0.31409509999999996
gcp-security,"list",1.39911,"response = (self.provider.gcp_compute.subnetworks().list(project=self.provider.project_name,region=region_name,filter=filter)",0.2232175
gcp-security,"get_or_create_default",20.1145,"for sn in self.find(label=GCPSubnet.CB_DEFAULT_SUBNET_LABEL):",2.6868542
gcp-compute,"find",0.024806,"matches = cb_helpers.generic_find(filters, kwargs, obj_list)",0.0123785
gcp-compute,"find",7.99967,"matches = cb_helpers.generic_find(filters, kwargs, obj_list)",2.666503
gcp-compute,"label",19.9587,"helpers.modify_or_add_metadata_item(self._provider, tag_name, value)",9.9793595
gcp-compute,"label",13.8162,"helpers.change_label(self, 'cblabel', value, '_gcp_instance', req)",1.2352575
gcp-compute,"refresh",242.841,"inst = self._provider.compute.instances.get(self.id)",0.33915229999999996
gcp-compute,"label",7.31747,"helpers.modify_or_add_metadata_item(self._provider, tag_name, value)",7.317456
gcp-compute,"refresh",0.258014,"net = self._provider.networking.networks.get(self.id)",0.25801
gcp-compute,"refresh",3.00229,"fip = self._provider.networking._floating_ips.get(None, self.id)",0.8867195
gcp-compute,"refresh",3.00229,"self._process_ip_users()",1.228844
gcp-compute,"label",10.2169,"helpers.modify_or_add_metadata_item(self._provider, tag_name, value)",10.216885
gcp-compute,"label",8.04666,"helpers.modify_or_add_metadata_item(self._provider, tag_name, value)",8.046653
gcp-compute,"refresh",0.332845,"subnet = self._provider.networking.subnets.get(self.id)",0.33284
gcp-compute,"refresh",9.10339,"vol = self._provider.storage.volumes.get(self.id)",0.3034416
gcp-compute,"refresh",0.431264,"snap = self._provider.storage.snapshots.get(self.id)",0.431258
gcp-compute,"get",0.230138,"for kp in self:",0.057531
gcp-compute,"list",0.22026,"for item in helpers.find_matching_metadata_items(self.provider, GCPKeyPair.KP_TAG_REGEX):",0.0440216
gcp-compute,"create",5.62269,"helpers.add_metadata_item(self.provider,GCPKeyPair.KP_TAG_PREFIX + name,metadata_value)",5.472093
gcp-compute,"delete",7.70415,"helpers.remove_metadata_item(self.provider, GCPKeyPair.KP_TAG_PREFIX + key_pair.name)",7.46271
gcp-compute,"create",36.3814,"fw.label = label",9.979389
gcp-compute,"create",36.3814,"self.provider.security._vm_firewall_rules.create_with_priority(fw, direction=TrafficDirection.OUTBOUND, protocol='tcp',priority=65534, cidr='0.0.0.0/0')",7.9560575
gcp-compute,"delete",28.846,"return self._delegate.delete_tag_network_with_id(fw_id)",14.422982
gcp-compute,"find_by_network_and_tags",1.69472,"network = self.provider.networking.networks.get(net_name)",0.2806103
gcp-compute,"list",0.015576,"rule = GCPVMFirewallRule(firewall, fw['id'])",0.0013603
gcp-compute,"list",0.015576,"if rule.is_dummy_rule():",0.0009445
gcp-compute,"create_with_priority",15.9121,"if not firewall.delegate.add_firewall(firewall.name, direction, protocol, priority, port, cidr,src_dest_tag, firewall.description,firewall.network.name):",7.9315115
